Algorithm,Accuracy,Sensitivity,Specificity,MSR,GMean,FPR,Error Rate,Precision
Linear Regression,0.8932038834951457,0.9090909090909091,0.8813559322033898,0.08058815802275066,0.895116006805512,0.11864406779661017,0.10679611650485432,0.851063829787234
Logistic Regression,0.9805825242718447,0.9545454545454546,1.0,0.019417475728155338,0.9770084209183945,0.0,0.01941747572815533,1.0
Non-Linear Regression (Polynomial),1.0,1.0,1.0,0.017299483224203376,1.0,0.0,0.0,1.0
GMM (EM),0.8252427184466019,1.0,0.6949152542372882,0.17475728155339806,0.8336157713463008,0.3050847457627119,0.1747572815533981,0.7096774193548387
